lambda0,lambda1,th0,th1,th,LordenH, maxN,alpha,beta,ASNKW,Q99KW,Delta,logA,logB,alphaSPRT,betaSPRT,ASNSPRT,Q99SPRT,FSS
72301.3164334497,80459.6302400776,0.1,0.2,0.143419513051977,885,783,0.000499887415598,0.000499935969699,416.741570890664,657,3.6439971040636E-05,-7.54233424374526,7.35308680936636,0.000500642671988,0.000499241800426,705.815499673697,2759,541
381.035356084349,403.108750286481,0.2,0.3,0.243470913230124,548,414,0.099674237475834,0.099753675044402,84.4319786959605,204,2.34926347104647E-05,-2.12189808259136,2.05140675542071,0.10007188435788,0.099813195482793,89.4065907656691,346,127
866.234542385553,912.569094786383,0.2,0.3,0.2449894534209,668,539,0.049973052894274,0.050025440306672,142.502684295651,309,1.00131021554262E-05,-2.88415908079134,2.78263130124993,0.050068832116582,0.049924474064624,160.295575295673,627,204
1870.2718797208,1971.22855861369,0.2,0.3,0.245713287504603,781,653,0.024989022832716,0.025014317636767,206.734761579968,410,1.13555245206953E-08,-3.59273010348226,3.50681662424524,0.025017478083865,0.025018022237176,247.692558860377,968,289
4985.9436384064,5256.62762392029,0.2,0.3,0.246216023959424,926,786,0.010019274746558,0.010014769160974,297.744811534187,547,1.20136405712401E-07,-4.52759109710488,4.43734330401303,0.010000706669798,0.009991649106614,389.725629418906,1527,402
10346.1169369129,10880.4126798289,0.2,0.3,0.246439727973329,1034,895,0.005004518751345,0.005006443070416,370.238403034062,649,2.44109797904457E-05,-5.23090430486796,5.13556780194014,0.004997865117943,0.004998520137509,517.476054066018,2027,495
54833.0422611907,57578.0557114631,0.2,0.3,0.246789113134139,1281,1133,0.000999688219760708,0.00100032693025864,546.667100547595,886,1.13879438004005e-05,-6.84148251099493,6.75054060408266,0.000999928709906952,0.000999993539520582,880.56574222403,3453,713
111418.358758092,117095.983609557,0.2,0.3,0.246879978636767,1386,1242,0.000499980009129652,0.00049982392651149,625.279973565743,989,3.25945657095872e-05,-7.53535075009858,7.44455552040034,0.00049970313026604,0.000500321023026983,1066.27942434027,4181,806
519.980832048526,524.386114975758,0.4,0.5,0.449024057665828,780,575,0.099874176043912,0.099906573314565,111.823784293762,272,-5.82035455920504E-06,-2.11730316147769,2.10093978471784,0.10008040230092,0.099881568164954,118.787360296802,465,168
1177.67169110197,1186.52277887303,0.4,0.5,0.449250320692244,941,744,0.050002605416845,0.049998045962556,189.191874736872,409,-1.84781462451156E-05,-2.86268193283041,2.84921067906384,0.050040233097437,0.049993376702075,213.159065280094,835,268
2540.71664741588,2561.22880375511,0.4,0.5,0.449372808384228,1092,893,0.025002917953793,0.025003370801794,274.559748785306,546,6.01675196776341E-07,-3.58091490587261,3.5701910649297,0.024971939701105,0.02500869951087,330.097711959753,1293,384
6804.602811676,6853.52054848916,0.4,0.5,0.449445707351416,1286,1082,0.01000161443452,0.00999897035139,395.746938627964,726,3.2149235153156E-05,-4.51388151476683,4.49890721900214,0.009998173470534,0.009999201400009,519.046389710714,2037,535
14096.5278180963,14170.5078657244,0.4,0.5,0.449490943412973,1429,1231,0.005002529824539,0.005002521015021,491.948246278546,862,8.34198397683394E-05,-5.2125846488877,5.19795627479775,0.00499902152347,0.00499798264175,688.864281297047,2703,655
